0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
112.86,114.61,114.87,116.54,116.71,118.28,121.59,122.55,123.29,125.79,126.45,125.83,126.52,129.31,131.19,132.4,134.22,136.16,137.42,138.91,140.18,139.72,142.31,143.44,143.93,144.76,147.38,151.4,151.4,154.07,155.06,155.43,156.39,159.21,162.64,162.4,163.03,163.97,162.35,164.48
100.79,101.45,103.5,105.4,108.21,111.78,116.04,118.84,120.62,123.07,126.21,128.18,132.99,136.22,139.76,143.55,146.84,150.79,155.03,158.15,163.2,170.3,176.78,181.89,186.9,191.32,198.51,213.39,222.57,238.28,264.12,271.96,279.92,295.07,308.97,324.17,334.93,340.12,339.56,337.62
108.08,108.69,109.73,111.28,111.4,113.37,114.51,114.36,116.36,118.39,118.4,118.92,118.37,120.23,120.84,121.59,124.18,126.85,128.72,129.37,131.79,135.78,137.03,136.7,137.77,140.21,143.59,149.34,150.56,153.81,162.72,164.62,169.09,175.07,181.8,187.88,191.16,195.81,199.8,200.33
114.14,116.29,118.54,119.8,121.29,123.13,126.24,126.97,129.5,132.71,136.27,139.61,141.61,145.13,148.41,150.31,152.66,154.63,157.64,158.37,161.54,164.5,165.7,167.03,168.6,169.95,171.19,174.62,174.98,178.26,181.48,182.53,184.27,187.66,187.64,185.76,185.18,181.82,180.11,181.0
109.42,107.59,109.37,110.99,115.01,113.22,116.33,115.6,116.3,116.71,116.14,115.86,117.3,117.72,118.72,121.92,127.64,126.28,125.77,130.66,132.18,130.87,132.74,135.83,136.61,139.19,139.37,140.09,141.17,141.77,145.33,146.09,148.3,150.32,152.67,156.65,157.44,161.12,163.54,165.9
107.24,108.78,110.14,111.23,111.33,112.15,113.55,114.57,115.94,117.21,117.76,119.06,122.63,122.74,123.63,125.42,127.56,128.81,130.36,131.28,132.48,134.31,135.9,136.46,137.67,138.65,139.95,143.43,144.37,145.45,147.62,149.38,152.0,152.11,154.83,156.85,156.94,155.58,156.97,158.27
113.11,114.87,115.83,119.33,120.38,123.27,125.54,126.64,127.45,130.33,130.65,132.66,135.32,137.15,139.13,141.52,144.23,147.11,149.08,151.04,152.16,154.58,157.66,159.42,161.34,163.69,165.69,168.13,170.4,173.58,179.14,180.63,187.09,191.67,195.68,202.84,206.25,213.64,220.18,223.38
110.47,112.95,114.14,115.58,117.16,118.25,119.29,121.12,122.64,125.2,126.72,129.35,131.05,131.13,135.27,136.95,141.3,141.26,143.6,145.55,147.98,149.27,152.18,153.49,154.43,156.09,157.3,159.32,163.13,164.82,167.24,169.89,170.57,172.7,172.65,175.47,177.82,177.83,179.64,182.95
109.47,110.84,112.81,114.44,116.51,117.81,120.12,121.83,123.6,125.83,128.39,129.99,131.85,134.3,136.6,138.7,142.83,144.66,146.73,148.58,149.85,151.18,153.53,155.12,156.11,157.04,157.85,160.1,162.17,162.84,164.74,167.29,169.28,171.11,173.59,175.16,176.31,176.67,177.65,180.6
105.29,105.96,107.42,108.7,111.39,111.8,113.8,114.66,114.54,113.99,116.14,117.35,120.08,121.01,127.14,126.32,131.88,133.25,136.47,138.97,143.02,146.67,151.27,155.43,159.9,163.25,169.49,179.43,185.98,193.65,207.51,214.87,222.78,238.01,248.05,257.87,263.44,270.2,274.53,276.0
